"","Site_code","n","n_millet","n_aquatic","%millet","%aqatiuc"
"1","OBD",19,0,1,0,5.26315789473684
"2","RMM",6,0,0,0,0
"3","SHC",20,0,3,0,15
"4","SAS",26,0,0,0,0
"5","NBK",13,0,5,0,38.4615384615385
"6","MSR",10,4,0,40,0
"7","DPR",32,7,1,21.875,3.125
"8","SDR",7,0,0,0,0
"9","SWR",5,0,0,0,0
"10","JKR",11,1,0,9.09090909090909,0
"11","KCR",8,0,0,0,0
"12","MJR",43,16,5,37.2093023255814,11.6279069767442
