"","Country","n","median.conc","mean.conc","sd.conc","n_lipid","%interp"
"1","Japan",123,5.65223385022181,36.043768576318,164.295242595973,69,56.0975609756098
"2","Korea",122,10.39,22.9231147540984,31.2924935440051,116,95.0819672131148
