"","number","Sample_ID","Category","Mean","SD","2.5%","5%","25%","50%","75%","95%","97.5%"
"283","p","DPR_013_SS20201106","Rice",0.484,0.179,0.112,0.167,0.364,0.493,0.612,0.767,0.808
"284","p","DPR_014_SS20201106","Rice",0.458,0.178,0.108,0.155,0.334,0.461,0.585,0.748,0.793
"285","p","DPR_019","Rice",0.204,0.102,0.035,0.049,0.127,0.197,0.274,0.385,0.417
"286","p","DPR_020_SS20201111","Rice",0.453,0.174,0.107,0.153,0.334,0.457,0.576,0.737,0.783
"287","p","DPR_026_SS20201111","Rice",0.257,0.119,0.048,0.07,0.166,0.254,0.34,0.459,0.497
"288","p","DPR_031_SS20201111","Rice",0.282,0.128,0.053,0.077,0.187,0.279,0.371,0.495,0.533
"289","p","DPR_032_SS20201111","Rice",0.171,0.091,0.029,0.042,0.101,0.16,0.232,0.332,0.372
"290","p","DPR-016_IAE","Rice",0.53,0.188,0.129,0.185,0.403,0.549,0.671,0.811,0.848
"291","p","DPR-017_IAE","Rice",0.466,0.183,0.104,0.151,0.337,0.47,0.596,0.765,0.803
"292","p","DPR-025_IAE","Rice",0.475,0.184,0.109,0.155,0.344,0.482,0.609,0.77,0.813
"293","p","DPR-033_IAE","Rice",0.424,0.178,0.091,0.128,0.296,0.423,0.549,0.72,0.774
"294","p","JKR01","Rice",0.275,0.122,0.051,0.074,0.185,0.277,0.362,0.477,0.513
"295","p","JKR04","Rice",0.305,0.131,0.058,0.088,0.21,0.307,0.397,0.522,0.559
"296","p","JKR10","Rice",0.273,0.123,0.053,0.073,0.18,0.273,0.362,0.475,0.51
"297","p","JKR11","Rice",0.49,0.174,0.12,0.175,0.373,0.502,0.617,0.758,0.796
"298","p","JKR12","Rice",0.415,0.17,0.09,0.129,0.296,0.418,0.531,0.695,0.751
"299","p","MJR_16_SS20201111","Rice",0.289,0.143,0.056,0.076,0.181,0.278,0.38,0.545,0.599
"300","p","MJR_20_SS20201126","Rice",0.464,0.179,0.108,0.155,0.339,0.469,0.595,0.749,0.79
"301","p","MJR_22_SS20201126","Rice",0.37,0.145,0.081,0.119,0.271,0.375,0.471,0.602,0.646
"302","p","MJR_27_SS20201126","Rice",0.165,0.09,0.028,0.04,0.096,0.154,0.222,0.328,0.365
"303","p","MJR_29_SS20201126","Rice",0.236,0.115,0.042,0.06,0.15,0.228,0.314,0.433,0.48
"304","p","MJR_34_SS20201126","Rice",0.242,0.117,0.046,0.064,0.155,0.235,0.323,0.443,0.481
"305","p","MJR_38_SS20201126","Rice",0.283,0.127,0.057,0.079,0.19,0.281,0.372,0.497,0.535
"306","p","MJR_39_SS20201126","Rice",0.282,0.124,0.051,0.074,0.191,0.285,0.372,0.48,0.517
"307","p","MJR_43_SS20201130","Rice",0.256,0.12,0.049,0.069,0.166,0.251,0.338,0.461,0.504
"308","p","MJR_44_SS20201130","Rice",0.23,0.114,0.041,0.057,0.145,0.22,0.308,0.427,0.464
"309","p","MJR-037_IAE","Rice",0.55,0.19,0.131,0.194,0.427,0.569,0.692,0.832,0.866
"310","p","MJR01","Rice",0.445,0.173,0.106,0.146,0.327,0.451,0.569,0.723,0.769
"311","p","MJR02","Rice",0.306,0.132,0.057,0.088,0.211,0.308,0.4,0.521,0.557
"312","p","MJR04","Rice",0.278,0.124,0.053,0.075,0.189,0.277,0.365,0.487,0.523
"313","p","MJR06","Rice",0.072,0.044,0.011,0.016,0.038,0.064,0.098,0.156,0.177
"314","p","MJR08","Rice",0.287,0.133,0.054,0.078,0.189,0.282,0.377,0.515,0.559
"315","p","MJR09","Rice",0.2,0.102,0.031,0.046,0.121,0.193,0.269,0.38,0.41
"316","p","MJR10","Rice",0.075,0.046,0.012,0.017,0.041,0.066,0.101,0.162,0.184
"317","p","MJR12","Rice",0.111,0.064,0.019,0.026,0.062,0.1,0.149,0.233,0.258
"318","p","MSR02","Rice",0.338,0.154,0.069,0.096,0.225,0.331,0.442,0.603,0.652
"319","p","MSR03","Rice",0.196,0.102,0.034,0.049,0.119,0.186,0.264,0.38,0.415
"320","p","MSR04","Rice",0.323,0.145,0.063,0.09,0.217,0.321,0.423,0.565,0.621
"321","p","MSR05","Rice",0.218,0.11,0.041,0.056,0.134,0.211,0.291,0.412,0.452
"322","p","MSR07","Rice",0.236,0.113,0.041,0.058,0.149,0.233,0.314,0.429,0.465
"323","p","MSR09","Rice",0.228,0.111,0.041,0.058,0.144,0.221,0.304,0.422,0.458
"324","p","NBK001FIAE","Rice",0.34,0.148,0.072,0.103,0.233,0.335,0.436,0.595,0.645
"325","p","NBK002FIAE","Rice",0.156,0.086,0.026,0.035,0.089,0.145,0.21,0.311,0.343
"326","p","NBK003FIAE","Rice",0.746,0.166,0.241,0.396,0.689,0.79,0.857,0.923,0.939
"327","p","NBK004FIAE","Rice",0.105,0.061,0.017,0.023,0.057,0.095,0.143,0.219,0.242
"328","p","NBK005FIAE","Rice",0.195,0.1,0.033,0.048,0.117,0.187,0.259,0.375,0.414
"329","p","NBK006FIAE","Rice",0.134,0.076,0.022,0.031,0.075,0.123,0.182,0.272,0.304
"330","p","NBK007FIAE","Rice",0.253,0.12,0.046,0.067,0.162,0.248,0.334,0.463,0.501
"331","p","NBK008FIAE","Rice",0.102,0.06,0.018,0.024,0.056,0.092,0.138,0.216,0.242
"332","p","NBK009FIAE","Rice",0.656,0.182,0.187,0.286,0.559,0.692,0.791,0.885,0.909
"333","p","NBK010FIAE","Rice",0.78,0.145,0.33,0.509,0.736,0.813,0.872,0.933,0.946
"334","p","NBK011FIAE","Rice",0.134,0.075,0.024,0.033,0.076,0.122,0.181,0.271,0.306
"335","p","NBK012FIAE","Rice",0.15,0.082,0.025,0.035,0.087,0.139,0.203,0.297,0.328
"336","p","OBD02IAE","Rice",0.443,0.175,0.099,0.144,0.322,0.444,0.566,0.729,0.771
"337","p","OBD08IAE","Rice",0.362,0.161,0.07,0.105,0.242,0.356,0.471,0.641,0.689
"338","p","OBD17IAE","Rice",0.18,0.095,0.032,0.043,0.107,0.171,0.242,0.35,0.389
"339","p","OBD20IAE","Rice",0.135,0.075,0.024,0.031,0.076,0.124,0.183,0.273,0.302
"340","p","RMM02IAE","Rice",0.324,0.154,0.061,0.085,0.21,0.315,0.425,0.594,0.65
"341","p","RMM07IAE","Rice",0.463,0.164,0.12,0.172,0.355,0.472,0.579,0.722,0.763
"342","p","RMM08IAE","Rice",0.32,0.137,0.062,0.092,0.22,0.321,0.416,0.546,0.592
"343","p","SAS01IAE","Rice",0.437,0.157,0.108,0.156,0.334,0.447,0.546,0.682,0.726
"344","p","SAS03IAE","Rice",0.608,0.189,0.16,0.241,0.49,0.638,0.75,0.864,0.89
"345","p","SAS04IAE","Rice",0.647,0.165,0.229,0.327,0.562,0.674,0.764,0.866,0.89
"346","p","SAS06IAE","Rice",0.601,0.181,0.18,0.25,0.491,0.626,0.737,0.852,0.88
"347","p","SAS07IAE","Rice",0.058,0.036,0.01,0.014,0.031,0.051,0.079,0.128,0.146
"348","p","SAS08IAE","Rice",0.47,0.174,0.117,0.167,0.352,0.478,0.593,0.749,0.787
"349","p","SAS10IAE","Rice",0.383,0.15,0.087,0.124,0.28,0.387,0.489,0.627,0.671
"350","p","SAS12IAE","Rice",0.453,0.17,0.11,0.156,0.338,0.457,0.574,0.725,0.772
"351","p","SAS16IAE","Rice",0.141,0.078,0.025,0.034,0.08,0.13,0.188,0.286,0.319
"352","p","SAS17IAE","Rice",0.53,0.177,0.14,0.201,0.418,0.545,0.66,0.795,0.83
"353","p","SAS20IAE","Rice",0.508,0.201,0.106,0.156,0.366,0.521,0.662,0.817,0.851
"354","p","SAS23IAE","Rice",0.487,0.169,0.126,0.183,0.377,0.497,0.606,0.749,0.788
"355","p","SAS24IAE","Rice",0.536,0.171,0.146,0.211,0.431,0.554,0.66,0.79,0.823
"356","p","SAS26IAE","Rice",0.502,0.175,0.124,0.186,0.388,0.512,0.629,0.772,0.811
"357","p","SAS28IAE","Rice",0.493,0.174,0.119,0.178,0.377,0.506,0.618,0.76,0.799
"358","p","SAS30IAE","Rice",0.266,0.124,0.047,0.071,0.173,0.262,0.351,0.476,0.516
"359","p","SAS31IAE","Rice",0.532,0.174,0.144,0.211,0.422,0.548,0.659,0.789,0.828
"360","p","SAS35FIAE","Rice",0.47,0.166,0.126,0.177,0.362,0.478,0.588,0.729,0.773
"361","p","SHC01IAE","Rice",0.305,0.134,0.062,0.088,0.209,0.303,0.399,0.528,0.57
"362","p","SHC05IAE","Rice",0.488,0.172,0.121,0.177,0.373,0.5,0.614,0.753,0.792
"363","p","SHC06IAE","Rice",0.33,0.142,0.066,0.099,0.229,0.33,0.428,0.569,0.613
"364","p","SHC07IAE","Rice",0.231,0.114,0.041,0.059,0.146,0.224,0.307,0.431,0.471
"365","p","SHC10IAE","Rice",0.281,0.13,0.052,0.076,0.183,0.277,0.369,0.504,0.55
"366","p","SHC13IAE","Rice",0.226,0.111,0.042,0.059,0.142,0.219,0.302,0.418,0.46
"367","p","SHC14IAE","Rice",0.301,0.133,0.061,0.087,0.201,0.302,0.393,0.521,0.565
"368","p","SHC19IAE","Rice",0.205,0.104,0.037,0.053,0.126,0.194,0.273,0.393,0.435
"369","p","SHC25IAE","Rice",0.351,0.143,0.08,0.111,0.249,0.354,0.453,0.587,0.625
"370","p","SHC27IAE","Rice",0.268,0.13,0.049,0.072,0.171,0.259,0.352,0.5,0.551
"371","p","SON002","Rice",0.3,0.129,0.059,0.086,0.207,0.3,0.391,0.513,0.551
"372","p","SON003","Rice",0.304,0.137,0.06,0.086,0.204,0.3,0.398,0.537,0.587
"373","p","SON004","Rice",0.272,0.124,0.051,0.072,0.179,0.268,0.359,0.483,0.519
"374","p","SON005","Rice",0.413,0.21,0.067,0.097,0.251,0.392,0.562,0.785,0.84
"375","p","SON006","Rice",0.335,0.141,0.066,0.097,0.236,0.336,0.434,0.566,0.609
"376","p","SON012","Rice",0.373,0.15,0.088,0.124,0.268,0.376,0.475,0.621,0.67
"377","p","SON013","Rice",0.278,0.126,0.052,0.075,0.184,0.276,0.365,0.49,0.534
"378","p","SON014","Rice",0.356,0.161,0.071,0.103,0.238,0.35,0.464,0.633,0.691
"379","p","SON016","Rice",0.317,0.131,0.06,0.09,0.226,0.324,0.41,0.52,0.553
"380","p","SON017","Rice",0.314,0.146,0.063,0.088,0.207,0.304,0.409,0.571,0.624
"381","p","SON018","Rice",0.143,0.079,0.025,0.035,0.083,0.132,0.193,0.29,0.324
"382","p","SON020","Rice",0.313,0.147,0.059,0.086,0.202,0.305,0.411,0.566,0.62
"383","p","SON022","Rice",0.432,0.172,0.095,0.137,0.314,0.434,0.554,0.711,0.756
"384","p","SON024","Rice",0.329,0.146,0.07,0.095,0.222,0.325,0.428,0.575,0.631
"385","p","SON025","Rice",0.517,0.158,0.153,0.222,0.423,0.532,0.628,0.75,0.788
"386","p","SON026","Rice",0.517,0.164,0.155,0.211,0.413,0.531,0.636,0.762,0.799
"387","p","SON027","Rice",0.4,0.156,0.092,0.132,0.291,0.404,0.507,0.651,0.694
"388","p","SS030","Rice",0.223,0.112,0.043,0.06,0.139,0.214,0.295,0.419,0.466
"389","p","SS031","Rice",0.236,0.119,0.044,0.061,0.146,0.225,0.311,0.452,0.499
"390","p","SS032","Rice",0.156,0.084,0.028,0.037,0.091,0.146,0.21,0.309,0.342
"391","p","SS035","Rice",0.46,0.153,0.12,0.176,0.365,0.475,0.567,0.686,0.722
"392","p","SS036","Rice",0.134,0.074,0.024,0.033,0.076,0.123,0.18,0.27,0.299
"393","p","SS037","Rice",0.425,0.162,0.098,0.141,0.31,0.429,0.539,0.687,0.728
"394","p","SS038","Rice",0.258,0.119,0.045,0.066,0.17,0.256,0.341,0.456,0.491
"395","p","SS039","Rice",0.55,0.154,0.173,0.251,0.466,0.569,0.657,0.769,0.803
"396","p","SS040","Rice",0.238,0.113,0.041,0.058,0.151,0.235,0.318,0.429,0.463
"397","p","SS041","Rice",0.228,0.11,0.038,0.055,0.143,0.224,0.306,0.417,0.451
"398","p","SS042","Rice",0.143,0.079,0.025,0.034,0.083,0.132,0.193,0.289,0.321
"399","p","SS043","Rice",0.283,0.129,0.055,0.077,0.188,0.28,0.371,0.5,0.543
"400","p","SS045","Rice",0.406,0.154,0.093,0.137,0.302,0.411,0.514,0.649,0.694
"401","p","SS047","Rice",0.431,0.153,0.111,0.158,0.331,0.44,0.54,0.668,0.705
"402","p","SS048","Rice",0.235,0.113,0.039,0.057,0.148,0.234,0.317,0.422,0.459
"403","p","SS049","Rice",0.297,0.129,0.052,0.08,0.202,0.303,0.39,0.504,0.54
"404","p","SS050","Rice",0.305,0.131,0.051,0.078,0.209,0.312,0.402,0.511,0.545
"405","p","SS051","Rice",0.12,0.068,0.02,0.027,0.067,0.111,0.163,0.246,0.273
"406","p","SS054","Rice",0.203,0.104,0.036,0.051,0.124,0.195,0.272,0.387,0.422
"407","p","SS055","Rice",0.322,0.14,0.069,0.094,0.222,0.319,0.418,0.559,0.604
"408","p","SS056","Rice",0.176,0.092,0.028,0.041,0.105,0.168,0.239,0.34,0.373
"409","p","SS057","Rice",0.205,0.101,0.034,0.05,0.128,0.201,0.275,0.377,0.41
"410","p","SS058","Rice",0.386,0.144,0.079,0.12,0.293,0.399,0.488,0.6,0.637
"411","p","SS060","Rice",0.228,0.111,0.037,0.053,0.142,0.224,0.305,0.418,0.453
"412","p","SS062","Rice",0.225,0.108,0.039,0.056,0.142,0.222,0.301,0.411,0.443
"413","p","SS063","Rice",0.2,0.101,0.032,0.048,0.123,0.194,0.27,0.374,0.412
"414","p","SS064","Rice",0.206,0.104,0.037,0.051,0.127,0.196,0.273,0.389,0.425
"415","p","DPR_001_SS20201111","Wild ruminant",0.092,0.026,0.051,0.056,0.074,0.089,0.108,0.14,0.153
"416","p","DPR_003_SS20201111","Wild ruminant",0.173,0.131,0.014,0.022,0.074,0.143,0.24,0.432,0.505
"417","p","DPR_007_SS20201106","Wild ruminant",0.057,0.046,0.006,0.009,0.025,0.045,0.076,0.141,0.174
"418","p","DPR_008_SS20201106","Wild ruminant",0.1,0.091,0.009,0.014,0.04,0.074,0.13,0.275,0.354
"419","p","DPR_009_SS20201106","Wild ruminant",0.054,0.043,0.006,0.009,0.024,0.044,0.072,0.135,0.165
"420","p","DPR_011_SS20201106","Wild ruminant",0.02,0.016,0.003,0.004,0.009,0.016,0.027,0.051,0.063
"421","p","DPR_013_SS20201106","Wild ruminant",0.164,0.135,0.01,0.016,0.061,0.128,0.23,0.433,0.509
"422","p","DPR_014_SS20201106","Wild ruminant",0.171,0.137,0.012,0.018,0.066,0.136,0.24,0.449,0.522
"423","p","DPR_019","Wild ruminant",0.057,0.049,0.006,0.009,0.024,0.044,0.074,0.145,0.179
"424","p","DPR_020_SS20201111","Wild ruminant",0.164,0.131,0.012,0.018,0.065,0.131,0.229,0.431,0.501
"425","p","DPR_026_SS20201111","Wild ruminant",0.08,0.072,0.008,0.012,0.034,0.062,0.104,0.209,0.273
"426","p","DPR_031_SS20201111","Wild ruminant",0.084,0.077,0.008,0.012,0.034,0.064,0.107,0.229,0.294
"427","p","DPR_032_SS20201111","Wild ruminant",0.087,0.067,0.009,0.013,0.04,0.072,0.115,0.214,0.255
"428","p","DPR-016_IAE","Wild ruminant",0.17,0.144,0.01,0.014,0.059,0.131,0.241,0.464,0.537
"429","p","DPR-017_IAE","Wild ruminant",0.181,0.142,0.012,0.019,0.072,0.146,0.253,0.461,0.534
"430","p","DPR-025_IAE","Wild ruminant",0.173,0.139,0.012,0.018,0.066,0.137,0.243,0.454,0.526
"431","p","DPR-033_IAE","Wild ruminant",0.185,0.139,0.014,0.021,0.077,0.153,0.259,0.462,0.531
"432","p","JKR01","Wild ruminant",0.06,0.059,0.006,0.009,0.023,0.044,0.077,0.156,0.202
"433","p","JKR04","Wild ruminant",0.085,0.081,0.008,0.012,0.033,0.063,0.11,0.226,0.297
"434","p","JKR10","Wild ruminant",0.064,0.065,0.006,0.009,0.026,0.047,0.081,0.17,0.225
"435","p","JKR11","Wild ruminant",0.153,0.13,0.01,0.016,0.056,0.115,0.211,0.42,0.497
"436","p","JKR12","Wild ruminant",0.164,0.13,0.013,0.019,0.067,0.13,0.225,0.422,0.5
"437","p","MJR_16_SS20201111","Wild ruminant",0.177,0.124,0.017,0.027,0.085,0.152,0.242,0.417,0.484
"438","p","MJR_20_SS20201126","Wild ruminant",0.169,0.135,0.012,0.019,0.067,0.134,0.236,0.445,0.524
"439","p","MJR_22_SS20201126","Wild ruminant",0.101,0.098,0.009,0.013,0.037,0.072,0.129,0.295,0.382
"440","p","MJR_27_SS20201126","Wild ruminant",0.1,0.073,0.01,0.015,0.048,0.085,0.134,0.238,0.284
"441","p","MJR_29_SS20201126","Wild ruminant",0.092,0.076,0.008,0.013,0.039,0.072,0.123,0.238,0.291
"442","p","MJR_34_SS20201126","Wild ruminant",0.086,0.074,0.009,0.012,0.036,0.067,0.113,0.227,0.281
"443","p","MJR_38_SS20201126","Wild ruminant",0.078,0.072,0.007,0.011,0.031,0.059,0.102,0.211,0.265
"444","p","MJR_39_SS20201126","Wild ruminant",0.056,0.056,0.006,0.008,0.022,0.042,0.073,0.149,0.193
"445","p","MJR_43_SS20201130","Wild ruminant",0.081,0.072,0.008,0.012,0.034,0.062,0.105,0.213,0.272
"446","p","MJR_44_SS20201130","Wild ruminant",0.099,0.083,0.009,0.014,0.043,0.078,0.131,0.257,0.318
"447","p","MJR-037_IAE","Wild ruminant",0.166,0.147,0.009,0.014,0.055,0.124,0.235,0.471,0.559
"448","p","MJR01","Wild ruminant",0.163,0.131,0.012,0.019,0.065,0.131,0.224,0.425,0.508
"449","p","MJR02","Wild ruminant",0.075,0.073,0.007,0.011,0.029,0.054,0.094,0.206,0.268
"450","p","MJR04","Wild ruminant",0.079,0.073,0.008,0.011,0.032,0.059,0.102,0.212,0.27
"451","p","MJR06","Wild ruminant",0.02,0.015,0.003,0.004,0.009,0.016,0.026,0.049,0.059
"452","p","MJR08","Wild ruminant",0.117,0.098,0.011,0.016,0.049,0.09,0.156,0.313,0.383
"453","p","MJR09","Wild ruminant",0.04,0.035,0.005,0.007,0.017,0.031,0.052,0.101,0.126
"454","p","MJR10","Wild ruminant",0.027,0.02,0.003,0.005,0.012,0.022,0.036,0.067,0.08
"455","p","MJR12","Wild ruminant",0.049,0.037,0.006,0.008,0.023,0.041,0.066,0.119,0.141
"456","p","MSR02","Wild ruminant",0.168,0.126,0.015,0.023,0.074,0.14,0.23,0.42,0.5
"457","p","MSR03","Wild ruminant",0.084,0.068,0.009,0.013,0.037,0.067,0.11,0.21,0.257
"458","p","MSR04","Wild ruminant",0.142,0.114,0.013,0.019,0.06,0.113,0.191,0.37,0.444
"459","p","MSR05","Wild ruminant",0.097,0.078,0.009,0.014,0.043,0.078,0.128,0.245,0.3
"460","p","MSR07","Wild ruminant",0.061,0.056,0.006,0.009,0.025,0.047,0.078,0.159,0.198
"461","p","MSR09","Wild ruminant",0.07,0.061,0.007,0.01,0.03,0.054,0.091,0.182,0.225
"462","p","NBK001FIAE","Wild ruminant",0.144,0.115,0.013,0.019,0.061,0.116,0.193,0.371,0.449
"463","p","NBK002FIAE","Wild ruminant",0.067,0.054,0.007,0.011,0.03,0.054,0.089,0.163,0.192
"464","p","NBK003FIAE","Wild ruminant",0.103,0.133,0.004,0.006,0.022,0.053,0.123,0.401,0.53
"465","p","NBK004FIAE","Wild ruminant",0.034,0.026,0.005,0.006,0.016,0.028,0.046,0.083,0.098
"466","p","NBK005FIAE","Wild ruminant",0.091,0.073,0.01,0.014,0.04,0.073,0.12,0.225,0.277
"467","p","NBK006FIAE","Wild ruminant",0.052,0.039,0.006,0.009,0.024,0.043,0.07,0.128,0.154
"468","p","NBK007FIAE","Wild ruminant",0.084,0.075,0.009,0.012,0.035,0.065,0.11,0.218,0.273
"469","p","NBK008FIAE","Wild ruminant",0.039,0.029,0.005,0.007,0.018,0.032,0.052,0.093,0.112
"470","p","NBK009FIAE","Wild ruminant",0.136,0.14,0.007,0.01,0.036,0.088,0.186,0.435,0.526
"471","p","NBK010FIAE","Wild ruminant",0.082,0.116,0.004,0.005,0.019,0.044,0.094,0.298,0.464
"472","p","NBK011FIAE","Wild ruminant",0.063,0.047,0.007,0.01,0.029,0.053,0.087,0.153,0.181
"473","p","NBK012FIAE","Wild ruminant",0.057,0.044,0.007,0.009,0.026,0.046,0.077,0.143,0.172
"474","p","OBD02IAE","Wild ruminant",0.169,0.134,0.012,0.019,0.068,0.136,0.236,0.434,0.513
"475","p","OBD08IAE","Wild ruminant",0.176,0.131,0.015,0.024,0.078,0.146,0.241,0.438,0.513
"476","p","OBD17IAE","Wild ruminant",0.076,0.062,0.007,0.011,0.034,0.062,0.101,0.192,0.229
"477","p","OBD20IAE","Wild ruminant",0.045,0.035,0.005,0.007,0.02,0.036,0.06,0.111,0.136
"478","p","RMM02IAE","Wild ruminant",0.182,0.129,0.016,0.026,0.085,0.155,0.247,0.43,0.506
"479","p","RMM07IAE","Wild ruminant",0.139,0.121,0.01,0.015,0.052,0.105,0.187,0.382,0.471
"480","p","RMM08IAE","Wild ruminant",0.097,0.09,0.009,0.013,0.038,0.072,0.124,0.267,0.353
"481","p","SAS01IAE","Wild ruminant",0.121,0.112,0.009,0.014,0.044,0.087,0.158,0.355,0.439
"482","p","SAS03IAE","Wild ruminant",0.151,0.144,0.007,0.011,0.044,0.106,0.214,0.453,0.548
"483","p","SAS04IAE","Wild ruminant",0.119,0.123,0.006,0.009,0.034,0.079,0.157,0.381,0.466
"484","p","SAS06IAE","Wild ruminant",0.146,0.138,0.007,0.012,0.044,0.103,0.207,0.436,0.52
"485","p","SAS07IAE","Wild ruminant",0.037,0.026,0.005,0.006,0.017,0.031,0.05,0.087,0.102
"486","p","SAS08IAE","Wild ruminant",0.16,0.131,0.012,0.018,0.061,0.123,0.222,0.425,0.501
"487","p","SAS10IAE","Wild ruminant",0.116,0.105,0.009,0.014,0.044,0.085,0.153,0.327,0.404
"488","p","SAS12IAE","Wild ruminant",0.158,0.13,0.011,0.017,0.062,0.121,0.218,0.427,0.505
"489","p","SAS16IAE","Wild ruminant",0.078,0.058,0.009,0.013,0.036,0.065,0.104,0.186,0.22
"490","p","SAS17IAE","Wild ruminant",0.151,0.133,0.009,0.014,0.052,0.112,0.21,0.43,0.515
"491","p","SAS20IAE","Wild ruminant",0.19,0.154,0.011,0.017,0.07,0.151,0.272,0.503,0.579
"492","p","SAS23IAE","Wild ruminant",0.143,0.125,0.01,0.016,0.052,0.106,0.195,0.402,0.482
"493","p","SAS24IAE","Wild ruminant",0.142,0.129,0.009,0.013,0.048,0.103,0.195,0.412,0.497
"494","p","SAS26IAE","Wild ruminant",0.151,0.132,0.01,0.015,0.053,0.113,0.21,0.427,0.506
"495","p","SAS28IAE","Wild ruminant",0.15,0.131,0.011,0.015,0.053,0.112,0.206,0.418,0.511
"496","p","SAS30IAE","Wild ruminant",0.089,0.078,0.008,0.012,0.036,0.068,0.116,0.234,0.286
"497","p","SAS31IAE","Wild ruminant",0.143,0.128,0.009,0.014,0.048,0.106,0.196,0.401,0.494
"498","p","SAS35FIAE","Wild ruminant",0.145,0.124,0.01,0.015,0.054,0.111,0.197,0.396,0.476
"499","p","SHC01IAE","Wild ruminant",0.095,0.086,0.009,0.013,0.038,0.073,0.123,0.258,0.327
"500","p","SHC05IAE","Wild ruminant",0.148,0.129,0.011,0.016,0.054,0.111,0.204,0.416,0.504
"501","p","SHC06IAE","Wild ruminant",0.116,0.102,0.011,0.016,0.047,0.088,0.151,0.321,0.4
"502","p","SHC07IAE","Wild ruminant",0.103,0.086,0.01,0.015,0.044,0.082,0.135,0.266,0.33
"503","p","SHC10IAE","Wild ruminant",0.109,0.092,0.01,0.015,0.046,0.085,0.143,0.285,0.355
"504","p","SHC13IAE","Wild ruminant",0.088,0.073,0.009,0.013,0.039,0.07,0.116,0.224,0.273
"505","p","SHC14IAE","Wild ruminant",0.093,0.084,0.008,0.013,0.038,0.07,0.12,0.258,0.33
"506","p","SHC19IAE","Wild ruminant",0.105,0.083,0.011,0.016,0.048,0.086,0.139,0.259,0.315
"507","p","SHC25IAE","Wild ruminant",0.103,0.096,0.009,0.014,0.039,0.075,0.132,0.296,0.375
"508","p","SHC27IAE","Wild ruminant",0.149,0.112,0.013,0.021,0.069,0.123,0.199,0.371,0.443
"509","p","SON002","Wild ruminant",0.076,0.071,0.008,0.011,0.031,0.057,0.097,0.204,0.264
"510","p","SON003","Wild ruminant",0.13,0.105,0.012,0.018,0.055,0.102,0.174,0.334,0.406
"511","p","SON004","Wild ruminant",0.084,0.076,0.008,0.012,0.034,0.063,0.108,0.22,0.283
"512","p","SON005","Wild ruminant",0.248,0.169,0.014,0.024,0.112,0.222,0.357,0.563,0.629
"513","p","SON006","Wild ruminant",0.103,0.096,0.009,0.013,0.039,0.076,0.133,0.288,0.374
"514","p","SON012","Wild ruminant",0.121,0.108,0.01,0.015,0.046,0.089,0.161,0.335,0.421
"515","p","SON013","Wild ruminant",0.097,0.086,0.009,0.014,0.041,0.074,0.126,0.26,0.327
"516","p","SON014","Wild ruminant",0.172,0.128,0.015,0.023,0.076,0.142,0.239,0.424,0.495
"517","p","SON016","Wild ruminant",0.055,0.059,0.006,0.008,0.021,0.039,0.069,0.144,0.192
"518","p","SON017","Wild ruminant",0.155,0.118,0.013,0.021,0.067,0.128,0.213,0.392,0.456
"519","p","SON018","Wild ruminant",0.056,0.043,0.006,0.009,0.026,0.046,0.075,0.136,0.168
"520","p","SON020","Wild ruminant",0.163,0.121,0.015,0.023,0.073,0.136,0.222,0.4,0.476
"521","p","SON022","Wild ruminant",0.161,0.128,0.012,0.019,0.065,0.128,0.225,0.416,0.489
"522","p","SON024","Wild ruminant",0.138,0.113,0.013,0.018,0.058,0.109,0.185,0.362,0.437
"523","p","SON025","Wild ruminant",0.112,0.113,0.008,0.012,0.037,0.077,0.145,0.34,0.428
"524","p","SON026","Wild ruminant",0.127,0.12,0.008,0.012,0.043,0.09,0.169,0.378,0.462
"525","p","SON027","Wild ruminant",0.131,0.116,0.01,0.015,0.05,0.097,0.175,0.372,0.453
"526","p","SS030","Wild ruminant",0.129,0.097,0.012,0.019,0.06,0.107,0.172,0.315,0.372
"527","p","SS031","Wild ruminant",0.148,0.107,0.015,0.023,0.07,0.124,0.2,0.358,0.419
"528","p","SS032","Wild ruminant",0.086,0.064,0.009,0.013,0.04,0.072,0.117,0.202,0.239
"529","p","SS035","Wild ruminant",0.09,0.096,0.007,0.01,0.031,0.06,0.112,0.283,0.371
"530","p","SS036","Wild ruminant",0.065,0.049,0.007,0.01,0.03,0.054,0.088,0.157,0.186
"531","p","SS037","Wild ruminant",0.138,0.12,0.011,0.016,0.051,0.104,0.188,0.388,0.463
"532","p","SS038","Wild ruminant",0.054,0.051,0.006,0.008,0.022,0.04,0.069,0.14,0.175
"533","p","SS039","Wild ruminant",0.097,0.107,0.006,0.01,0.031,0.064,0.121,0.317,0.418
"534","p","SS040","Wild ruminant",0.046,0.043,0.005,0.008,0.02,0.035,0.058,0.118,0.145
"535","p","SS041","Wild ruminant",0.047,0.043,0.005,0.008,0.021,0.036,0.061,0.121,0.152
"536","p","SS042","Wild ruminant",0.057,0.043,0.006,0.009,0.025,0.047,0.075,0.139,0.165
"537","p","SS043","Wild ruminant",0.093,0.085,0.009,0.013,0.036,0.069,0.122,0.254,0.321
"538","p","SS045","Wild ruminant",0.117,0.107,0.009,0.014,0.043,0.085,0.155,0.34,0.412
"539","p","SS047","Wild ruminant",0.104,0.102,0.008,0.012,0.037,0.073,0.135,0.306,0.392
