Category,NDB_NO,Source,Percent_C16_dryweight,Percent_C18_dryweight,Total lipid (weight),Ab_Percent_C16,Ab_Percent_C18,PS ratio,Percent_C16,Percent_C18
Rice,20089,"Wild rice, cooked",0.046,0.003,0.34,0.14,0.01,15.33,0.94,0.06
Rice,20088,"Wild rice, raw",0.145,0.011,1.08,0.13,0.01,13.18,0.93,0.07
Wild ruminant,17165,"Game meat, deer, cooked, roasted",0.54,0.67,3.19,0.17,0.21,0.81,0.45,0.55
Wild ruminant,17344,"Game meat, deer, ground, cooked, pan-broiled",1.769,1.691,8.22,0.22,0.21,1.05,0.51,0.49
Wild ruminant,17343,"Game meat, deer, ground, raw",1.33,1.61,7.13,0.19,0.23,0.82,0.45,0.55
Wild ruminant,17345,"Game meat, deer, loin, separable lean only, 1"" steak, cooked, broiled",0.533,0.647,2.38,0.22,0.27,0.82,0.45,0.55
Wild ruminant,17164,"Game meat, deer, raw",0.41,0.51,2.42,0.17,0.21,0.8,0.45,0.55
Wild ruminant,17346,"Game meat, deer, shoulder clod, separable lean only, cooked, braised",0.883,1.073,3.95,0.22,0.27,0.82,0.45,0.55
Wild ruminant,17347,"Game meat, deer, tenderloin, separable lean only, cooked, broiled",0.506,0.484,2.35,0.22,0.21,1.05,0.51,0.49
Wild ruminant,17348,"Game meat, deer, top round, separable lean only, 1"" steak, cooked, broiled",0.406,0.494,1.92,0.21,0.26,0.82,0.45,0.55
