Region,SiteName,Site description,,Latitude,Longitude,Individual ID,Taxon common name,Sex,Age category individual,Sample type,Min age (95%),Max age (95%),Dating method,14C,14C unc,Period_tags,Period_2,Group,d13C_coll,delta 13C coll_err,d15N_coll,delta 15N coll_err,Collagen yield,,%C,%N,C/N,Reference
Korea,Jecheon Hwangsok-ri,Megalithic burials,,37.02,128.13,ER-HW2,Human,,Chung 7 ho,Cranium,-765,-420,Radiocarbon,,,Middel Mumun,Bronze Age Korea,Bronze Age Korea,-11.4,0.5,6.9,0.5,0.8,,43.1,15.1,3.3,"K. Choy, H. Y. Yun, J. Lee, B. T. Fuller, K.-H. Shin, Direct isotopic evidence for human millet consumption in the Middle Mumun period: Implication and importance of millets in early agriculture on the Korean Peninsula. J. Archaeol. Sci. 129, 105372 (2021)"
Korea,Jecheon Hwangsok-ri,Megalithic burials,,37.02,128.13,ER-HW3,Human,,Chung17 ho,Cranium,-765,-420,Radiocarbon,,,Middel Mumun,Bronze Age Korea,Bronze Age Korea,-12,0.5,7.6,0.5,1.9,,44.6,15.3,3.4,"K. Choy, H. Y. Yun, J. Lee, B. T. Fuller, K.-H. Shin, Direct isotopic evidence for human millet consumption in the Middle Mumun period: Implication and importance of millets in early agriculture on the Korean Peninsula. J. Archaeol. Sci. 129, 105372 (2021)"
Korea,Jecheon Hwangsok-ri,Megalithic burials,,37.02,128.13,ER-HW6,Human,,Unknown,Femur,-765,-420,Radiocarbon,,,Middel Mumun,Bronze Age Korea,Bronze Age Korea,-11,0.5,6.8,0.5,1.5,,44.4,15.5,3.3,"K. Choy, H. Y. Yun, J. Lee, B. T. Fuller, K.-H. Shin, Direct isotopic evidence for human millet consumption in the Middle Mumun period: Implication and importance of millets in early agriculture on the Korean Peninsula. J. Archaeol. Sci. 129, 105372 (2021)"
Korea,Chuncheon Jungdo,Megalithic burials,,37.68,127.5,ER-KO8,Human,,Dolmen 5 ho,Cranium,-750,-410,Radiocarbon,2440,30,Middel Mumun,Bronze Age Korea,Bronze Age Korea,-12,0.5,7.4,0.5,2.5,,42.4,15.9,3.1,"K. Choy, H. Y. Yun, J. Lee, B. T. Fuller, K.-H. Shin, Direct isotopic evidence for human millet consumption in the Middle Mumun period: Implication and importance of millets in early agriculture on the Korean Peninsula. J. Archaeol. Sci. 129, 105372 (2021)"
Korea,Jeongseon Maedun Cave,Cave,,37.32,128.68,ER-JE9,Human,,1ho,Rib,-770,-430,Radiocarbon,2480,30,Middel Mumun,Bronze Age Korea,Bronze Age Korea,-11.1,0.5,6.3,0.5,11.5,,41.8,15.8,3.1,"K. Choy, H. Y. Yun, J. Lee, B. T. Fuller, K.-H. Shin, Direct isotopic evidence for human millet consumption in the Middle Mumun period: Implication and importance of millets in early agriculture on the Korean Peninsula. J. Archaeol. Sci. 129, 105372 (2021)"
Kyushu,Yoshinogari,Cemetery,,33.19,130.23,SJ0818,Human,M,Mature adult,Metacarpal,100,175,Burial type,,,Late Yayoi,Yayoi,"Yoshinogari, Yayoi",-18.8,0.5,10.2,0.5,1.25,,40.3,13.7,3.4,"Yoneda, M., Uno, A., Wakabe, T., Saeki, K., Takamura, K., Tsurumoto, T. (2020) Yoshinogari iseki shutsudo jinkotsu no tanso, chiso doitai bunseki, in Yoshinogari iseki: Yayoi jidai sokatsu hen 1, pp. 393-401. Saga Board of Education."
Kyushu,Yoshinogari,Cemetery,,33.19,130.23,SJ0839,Human,M,Mature-older adult,Limb,100,250,Burial type,,,Late Yayoi,Yayoi,"Yoshinogari, Yayoi",-20.3,0.5,11.6,0.5,0.76,,18,4.8,4.4,"Yoneda, M., Uno, A., Wakabe, T., Saeki, K., Takamura, K., Tsurumoto, T. (2020) Yoshinogari iseki shutsudo jinkotsu no tanso, chiso doitai bunseki, in Yoshinogari iseki: Yayoi jidai sokatsu hen 1, pp. 393-401. Saga Board of Education."
Kyushu,Yoshinogari,Cemetery,,33.19,130.23,SJ0275,Human,F,Mature-older adult,L tibia,100,150,Burial type,,,Late Yayoi,Yayoi,"Yoshinogari, Yayoi",-21.7,0.5,14.7,0.5,0.08,,31.4,6,6.1,"Yoneda, M., Uno, A., Wakabe, T., Saeki, K., Takamura, K., Tsurumoto, T. (2020) Yoshinogari iseki shutsudo jinkotsu no tanso, chiso doitai bunseki, in Yoshinogari iseki: Yayoi jidai sokatsu hen 1, pp. 393-401. Saga Board of Education."
Kyushu,Yoshinogari,Cemetery,,33.19,130.23,SJ0497,Human,F,Mature adult,Limb,100,150,Burial type,,,Late Yayoi,Yayoi,"Yoshinogari, Yayoi",-20.5,0.5,10,0.5,0.23,,4.5,0.8,6.5,"Yoneda, M., Uno, A., Wakabe, T., Saeki, K., Takamura, K., Tsurumoto, T. (2020) Yoshinogari iseki shutsudo jinkotsu no tanso, chiso doitai bunseki, in Yoshinogari iseki: Yayoi jidai sokatsu hen 1, pp. 393-401. Saga Board of Education."
Kyushu,Yoshinogari,Cemetery,,33.19,130.23,SJ0835,Human,F,Adult,Rib,100,175,Burial type,,,Late Yayoi,Yayoi,"Yoshinogari, Yayoi",-18.9,0.5,11.2,0.5,0.77,,27.5,8.8,3.6,"Yoneda, M., Uno, A., Wakabe, T., Saeki, K., Takamura, K., Tsurumoto, T. (2020) Yoshinogari iseki shutsudo jinkotsu no tanso, chiso doitai bunseki, in Yoshinogari iseki: Yayoi jidai sokatsu hen 1, pp. 393-401. Saga Board of Education."
