Count,Sherd sample Database Individual  number,Sherd_ID_original ,Sample_ID,Vessel_ID,Site_code,Site_name,Country,Region,Latitude ,Longitude ,Phase,Phase_2,Sample_type,Yield_AE,d13C16,d13C18,bigD,Miliacin,Aquatic,AE GC-MS Scan Data file ,TMTD,Pristanic ,Phytanic,SRR_RRR ,APAA_range,APAA_C18_area ,APAA_C20_area ,APAA_EH,APAA_20_18,
24,ENC209,cx 69-11,OBD24IAE,OBD24,OBD,Obaru D,Japan,Kyushu,33.37,130.13,Late Jomon,Jomon,ceramic,2.75,,,,no,no,2021_07_12_MB,no,tr,yes,82.3,,0,0,,,
25,ENC210,cx 69-64,OBD25IAE,OBD25,OBD,Obaru D,Japan,Kyushu,33.37,130.13,Late Jomon,Jomon,ceramic,0.74,,,,no,no,2021_07_12_MB,no,no,no,,,0,0,,,
26,ENC211,cx 68-20,OBD26IAE,OBD26,OBD,Obaru D,Japan,Kyushu,33.37,130.13,Late Jomon,Jomon,ceramic,9.59,,,,no,no,2021_07_12_MB,no,no,no,,,0,0,,,
27,ENC212,cx 69-64,OBD27IAE,OBD27,OBD,Obaru D,Japan,Kyushu,33.37,130.13,Late Jomon,Jomon,ceramic,1.5,,,,no,no,2021_07_12_MB,no,no,no,,,0,0,,,
28,ENC213,cx 68-30,OBD28IAE,OBD28,OBD,Obaru D,Japan,Kyushu,33.37,130.13,Late Jomon,Jomon,ceramic,5.73,,,,no,no,2021_07_12_MB,no,tr,no,,,0,0,,,
29,ENC214,cx 68-10,OBD29IAE,OBD29,OBD,Obaru D,Japan,Kyushu,33.37,130.13,Late Jomon,Jomon,ceramic,25.5,,,,no,no,2021_07_12_MB,no,no,no,,,0,0,,,
30,ENC215,n/a,OBD30IAE,OBD30,OBD,Obaru D,Japan,Kyushu,33.37,130.13,Late Jomon,Jomon,ceramic,23.67,,,,no,no,2021_07_12_MB,no,no,no,,,0,0,,,
31,ENC216,n/a,OBD31IAE,OBD31,OBD,Obaru D,Japan,Kyushu,33.37,130.13,Late Jomon,Jomon,ceramic,32,,,,no,no,2021_07_12_MB,no,no,tr,,,0,0,,,
32,ENC217,SX01　2区,RMM01IAE,RMM01,RMM,Ryumatsu Mizota,Japan,Kyushu,33.42,130.57,Final Jomon,Jomon,ceramic,1.55,,,,no,no,2021_07_09_MB,no,no,no,,,0,0,,,
33,ENC218,SX01　No.35,RMM02IAE,RMM02,RMM,Ryumatsu Mizota,Japan,Kyushu,33.42,130.57,Final Jomon,Jomon,ceramic,72.09,-27.531,-29.102,-1.571,no,no,2021_07_09_MB,no,no,no,,,7952514,103650,3.16,0.013,
34,ENC219,SX01　No.48,RMM03IAE,RMM03,RMM,Ryumatsu Mizota,Japan,Kyushu,33.42,130.57,Final Jomon,Jomon,ceramic,1.37,,,,no,no,2021_07_09_MB,no,no,no,,,0,0,,,
35,ENC220,SX01　No.32,RMM04IAE,RMM04,RMM,Ryumatsu Mizota,Japan,Kyushu,33.42,130.57,Final Jomon,Jomon,ceramic,3.38,,,,no,no,2021_07_09_MB,no,tr,no,,,0,0,,,
36,ENC221,SX01　No.40,RMM05IAE,RMM05,RMM,Ryumatsu Mizota,Japan,Kyushu,33.42,130.57,Final Jomon,Jomon,ceramic,3.35,,,,no,no,2021_07_09_MB,no,no,no,,,0,0,,,
37,ENC222,SX01　No.38,RMM06IAE,RMM06,RMM,Ryumatsu Mizota,Japan,Kyushu,33.42,130.57,Final Jomon,Jomon,ceramic,5.13,,,,no,no,2021_07_09_MB,no,no,no,,,0,0,,,
38,ENC223,SX01　No.39,RMM07IAE,RMM07,RMM,Ryumatsu Mizota,Japan,Kyushu,33.42,130.57,Final Jomon,Jomon,ceramic,36.68,-29.267,-28.833,0.434,no,no,2021_07_09_MB,no,no,no,,,321670,0,1.34,,
39,ENC224,SX01　3区,RMM08IAE,RMM08,RMM,Ryumatsu Mizota,Japan,Kyushu,33.42,130.57,Final Jomon,Jomon,ceramic,36.69,-27.385,-26.6,0.784,no,no,2021_07_09_MB,no,yes,yes,11.9,,0,0,,,
40,ENC225,SX01　3区,RMM09IAE,RMM09,RMM,Ryumatsu Mizota,Japan,Kyushu,33.42,130.57,Final Jomon,Jomon,ceramic,4.85,,,,no,no,2021_07_12_MB,no,no,no,,,0,0,,,
