LabCode,SiteName,Region,CRA,CRAError,Material,Source,comments,Exclude
PLD-4737,Miyamaeiseki,Japan,1316,21,rice,Crema et al 2022,,
PLD-4875,Daikaiiseki,Japan,2465,25,rice,Crema et al 2022,,
PLD-5104,Yonetakeiseki,Japan,2235,20,rice,Crema et al 2022,,
PLD-5106,Yonetakeiseki,Japan,2230,20,broomcorn millet,Kudo et al 2023,,
PLD-5109,Shimogoriiseki,Japan,2185,25,rice,Crema et al 2022,,
PLD-5111,Shimogoriiseki,Japan,2165,20,rice,Crema et al 2022,,
PLD-5304,Ryugasaki A,Japan,2550,25,broomcorn millet,Leipe et al 2019,,
PLD-5987,Hanakojiiseki,Japan,1149,19,rice,Crema et al 2022,,
PLD-6013,Dobiyamadateato,Japan,946,19,rice,Crema et al 2022,,
PLD-6014,Dobiyamadateato,Japan,887,19,rice,Crema et al 2022,,
PLD-6149,Haraiseki,Japan,1193,22,rice,Crema et al 2022,,
PLD-6199,Yamatokitaikeiseki,Japan,1605,25,rice,Crema et al 2022,,
PLD-6458,Shimogoriiseki,Japan,2080,35,rice,Crema et al 2022,,
PLD-6459,Shimogoriiseki,Japan,2125,35,rice,Crema et al 2022,,
PLD-6460,Shimogoriiseki,Japan,2080,35,rice,Crema et al 2022,,
PLD-6461,Shimogoriiseki,Japan,2140,35,rice,Crema et al 2022,,
PLD-6462,Shimogoriiseki,Japan,2125,35,rice,Crema et al 2022,,
PLD-6463,Shimogoriiseki,Japan,2175,30,rice,Crema et al 2022,,
PLD-6466,Shimogoriiseki,Japan,2185,35,foxtail millet,Kudo et al 2023; Leipe et al 2019,,
PLD-6473,Koikawaiseki,Japan,316,17,rice,Crema et al 2022,,
PLD-6474,Koikawaiseki,Japan,355,16,rice,Crema et al 2022,,
PLD-6475,Koikawaiseki,Japan,328,16,rice,Crema et al 2022,,
PLD-6476,Koikawaiseki,Japan,317,18,rice,Crema et al 2022,,
PLD-6477,Koikawaiseki,Japan,308,16,rice,Crema et al 2022,,
PLD-6478,Koikawaiseki,Japan,289,17,rice,Crema et al 2022,,
PLD-7201,Hottasakuato,Japan,560,22,rice,Crema et al 2022,,
PLD-8046,Takayanagi・Shimoyasudaiseki,Japan,1895,20,rice,Crema et al 2022,,
PLD-8810,Minamiyamahataiseki,Japan,1860,25,rice,Crema et al 2022,,
PLD-9712,Araisanchomeiseki,Japan,1855,25,rice,Crema et al 2022,,
PLD-9713,Araisanchomeiseki,Japan,1900,25,rice,Crema et al 2022,,
PLD-9714,Araisanchomeiseki,Japan,1875,20,rice,Crema et al 2022,,
PLD-9715,Araisanchomeiseki,Japan,1840,25,rice,Crema et al 2022,,
PLD-9716,Araisanchomeiseki,Japan,1850,25,rice,Crema et al 2022,,
PLD-9717,Araisanchomeiseki,Japan,1905,25,rice,Crema et al 2022,,
Poz-113871,Maenakanishi,Japan,2100,30,rice,Crema et al 2022,,
Poz-115541,Chikaraishijoriisekigun,Japan,2420,30,rice,Crema et al 2022,,
Poz-115542,Chikaraishijoriisekigun,Japan,2190,30,rice,Crema et al 2022,,
Poz-115543,Chikaraishijoriisekigun,Japan,2370,30,rice,Crema et al 2022,,
SNU 호로7-7,Horogoru,South Korea,1490,60,rice,Ahn (2012),,
SNU-?,Mudeung-ri,South Korea,1430,60,rice,Ahn (2012),,
SNU-03883,Bojeong-ri,South Korea,2640,60,rice,Ahn (2012),,
SNU-04360,Hwageum-ri,South Korea,1500,60,rice,Ahn (2012),,
SNU-051014,Sosa-dong,South Korea,2840,50,rice,Ahn (2010; Table 2); Leipe et al 2020,,
SNU-05435,Gajeong-ri,South Korea,1940,60,rice,Ahn (2012),,
SNU-05436,Gajeong-ri,South Korea,1750,60,rice,Ahn (2012),,
SNU-05440,Sanjik-ri ,South Korea,2790,60,rice,Ahn (2010; Table 2); Ahn (2012; Table 4); Leipe et al 2020,"This is down as 부여 가중리 유적  Gajung-ri Site, Buyeo House 2. In National Museum (2015) BUT the reference is to three sites; Ganjung-ril Sanjik-ri and Sangwol-ri Have checked Ahn (2010) and no other information other than house 12;  박태식, 2006, 「附錄 1. 부여 가중리 문화유적의 자연과학적 분석연구 4.씨앗분석」, 『扶餘 佳中里 가좌·산직리 遺蹟및 恩山里 상월리 遺蹟』, (財)忠淸文化財硏究院. Ahn 2012 Table 4 site is listed as 부여 산직리 Sanjik-ri",
SNU-06520,Daecheon-ri,South Korea,2070,60,rice,Leipe et al 2020,,
SNU-06818,Daecheon-ri,South Korea,1770,60,rice,Leipe et al 2020,,
SNU-06819,Daecheon-ri,South Korea,1800,60,rice,Leipe et al 2020,,
SNU-06820,Daecheon-ri,South Korea,1780,60,rice,Leipe et al 2020,,
SNU-07085,Yongheung-ri,South Korea,1750,60,rice,Ahn (2012),,
SNU-07087,Yongheung-ri,South Korea,1860,60,rice,Ahn (2012),,
SNU-07454,Daejeong,South Korea,1660,50,rice,Ahn (2012),,
SNU-07543,Yeonha-ri (Gapyeong),South Korea,3090,60,broomcorn millet,Ahn (2012); Leipe et al. (2019),,
SNU-08305,Gyodong,South Korea,3040,60,rice,Ahn (2010; Table 2); Ahn (2012); Leipe et al 2020,,
SNU-125,Oeun-1 (Oun-1),South Korea,2850,60,rice,Ahn (2010; Table 2); Lee (2011); Ahn (2012); Leipe et al 2020,,
SNU-126,Oeun-1 (Oun-1),South Korea,2830,60,foxtail millet,Lee (2011); Ahn (2012); National Museum (2105); Leipe et al 2019,,
SNU-호로7-7,Hwageum-ri,South Korea,1490,60,rice,Ahn (2012),,
TERRA-578#10,Kazahari(1)Iseki,Japan,173,35,rice,Crema et al 2022,,
Tka-11782,Yotsubachikuiseki,Japan,160,90,rice,Crema et al 2022,,
Tka-13458,Matogotandatsuiseki,Japan,1595,40,rice,Crema et al 2022,,
Tka-13459,Matogotandatsuiseki,Japan,1550,40,rice,Crema et al 2022,,
Tka15232,Aoyakamijichiiseki,Japan,1910,25,rice,Crema et al 2022,,
Tka15233,Aoyakamijichiiseki,Japan,1884,25,rice,Crema et al 2022,,
TKA-23237,Etsujiiseki,Japan,2552,37,rice,Crema et al 2022,,
TKA-23238,Etsujiiseki,Japan,2590,44,rice,Crema et al 2022,,
TKA-23243,Etsujiiseki,Japan,2751,42,foxtail millet,Obata and Kunikita 2022,,
TO-10207,Oeun-1 (Oun-1),South Korea,2640,60,foxtail millet,Lee (2003); Ahn (2012),,
TO-1998,Okawa,Japan,1160,80,broomcorn millet,Leipe et al 2019,,
TO-8605,Oeun-1 (Oun-1),South Korea,3610,280,rice,Ahn (2010; Table 2); Lee (2011); Ahn (2012); National Museum (2015); Leipe et al. (2019),WARNING LIKELY BAD DATE. Note 2 rice grains from this same dwelling (House 104) were redated by Ahn (2012): SNU-126 and SNU-125,YES
TO-8607,Oeun-1 (Oun-1),South Korea,4030,100,foxtail millet,Lee (2011); Ahn (2012); Leipe et al 2019,,
TO-8608,Sangchon-ri (Locality B),South Korea,4060,140,foxtail millet,Lee (2011); Ahn (2012); Leipe et al 2019,,
TO-8612,Oeun 1 (Oun 1),South Korea,2840,60,foxtail millet,Ahn (2012); Leipe et al. (2019),,
TO-8637,Oeun-1 (Oun-1),South Korea,2800,100,foxtail millet,Lee (2011); Leipe et al 2019,,
TO-8783,Dongsamdong,South Korea,4590,100,foxtail millet,Lee (2011); Ahn (2012); Leipe et al. (2019),,
UCIAM67219 (PGD 37),Pyeonggeodong,South Korea,3940,20,broomcorn millet,Ahn (2012); Leipe et al 2019,note Leipe et al. 2019 refer to this as foxtail millet but in other publications (Ahn 2012; National Research Institute of Cultural Heritage 2015) it is put down as broomcorn millet. The samples from the site have some foxtail millet but the by far dominant find was Panicum miliaceum. This site is 7km from Pyeongjudong II so could even be same site depending on accuracy of geo-coordinates in databases,
YU-10196,Kasugaboriiseki,Japan,1311,20,rice,Crema et al 2022,,
YU-7197,Komaki iseki,Japan,824,20,rice,Crema et al 2022,,
서울대학교,Mudeung-ri,South Korea,1430,60,rice,Ahn (2012),,
